
filename,extension,size_bytes,probable_title,probable_author,year_guess,Genero,Ventas estimadas,Rating promedio (1-5),numero_resenas,premios,adaptaciones,semanas_lista_bestseller,traduccion_idiomas,PublicoObjetivo,RegionPrincipal,ano_publicacion_real,editorial
1675379391_Fahrenheit_451-Ray_Bradbury.pdf,.pdf,479179,Fahrenheit 451,Ray Bradbury,1953,Distopía / Ciencia ficción,10M+,3.91,40900,Prometheus Hall of Fame 1984,"Film (1966), Film (2018)",NA,33,Adulto/YA,EE.UU.,1953,Ballantine Books
1984.pdf,.pdf,772181,1984,George Orwell,1949,Distopía política / Ciencia ficción,30M+,4.16,91800,NA,"Films (1956, 1984), theatre",NA,65+,Adulto,Reino Unido,1949,Secker & Warburg
3.txt,.txt,5352123,Los pazos de Ulloa,Emilia Pardo Bazán,1886,Realismo,NA,3.80,NA,NA,TV series (1985),NA,NA,Adulto,España,1886,Cátedra
4.pdf,.pdf,14561004,El Paciente,Juan Gómez-Jurado,2014,Thriller psicológico / Suspenso,6M+ (autor),4.09,NA,NA,En desarrollo,NA,NA,Adulto,España,2014,Planeta
53797_Los_hombres_que_no_amaban_a_las_mujeres.pdf,.pdf,1032242,Los hombres que no amaban a las mujeres,Stieg Larsson,2005,Thriller / Misterio / Policiaco,30M+,4.15,NA,Glass Key,Swedish & US films,NA,50+,Adulto,Suecia,2005,Norstedts
6068_4.2.1.POESIA-EPICA.pdf,.pdf,792191,Selección de Textos de La Ilíada y La Odisea,Homero,s. VIII a.C.,Épica clásica / Mitología,,,,,,,,,,,
AAM8264.pdf,.pdf,1046993,El guardián entre el centeno,J. D. Salinger,1951,Ficción realista / Coming-of-age,65M+,3.80,NA,NA,NA (author refused),NA,30+,Juvenil/Adulto,EE.UU.,1951,"Little, Brown and Company"
Aldous HGuxley Un mundo Feliz.pdf,.pdf,756965,Un mundo feliz,Aldous Huxley,1932,Distopía / Ciencia ficción,NA,3.98,NA,NA,TV films 1980 & 1998,NA,30+,Adulto,Reino Unido,1932,Chatto & Windus
Anónimo Poema del Mio Cid.pdf,.pdf,240775,Poema del Mio Cid,Anónimo,1200,Épica medieval,,,,,,,,,,,
Arcipreste de Hita Libro de buen amor.pdf,.pdf,4059050,Libro de buen amor,Arcipreste de Hita,1330,Literatura medieval / Satírica,,,,,,,,,,,
Area 81 - Stephen King.pdf,.pdf,544942,Área 81,Stephen King,2011,Terror / Suspenso,,,,,,,,,,,
Buenos presagios Edicion ilustrada - Neil Gaiman.pdf,.pdf,1878848,Buenos presagios,Terry Pratchett & Neil Gaiman,1990,Fantasía / Comedia,5M+,4.25,NA,NA,Amazon Prime series,NA,30+,Adulto,Reino Unido,1990,Gollancz
"c3ad16707_Le Guin, Ursuila K. - Un Mago de Terramar.pdf",.pdf,635271,Un mago de Terramar,Ursula K. Le Guin,1968,Fantasía juvenil,NA (millions),4.01,NA,Boston Globe–Horn Book Award,Anime film (2006),NA,NA,Juvenil,EE.UU.,1968,Parnassus/Minotauro
CAMINO DE PERFECCION.pdf,.pdf,331504,Camino de perfección,Pío Baroja,1902,Novela realista,,,,,,,,,,,
Cancion de Susannah - Stephen King.pdf,.pdf,4586940,Canción de Susannah,Stephen King,2004,Terror / Fantasía oscura,,,,,,,,,,,
Cecilia_de_Marsilly-Alejandro_Dumas_Padre.pdf,.pdf,833403,Cecilia de Marsilly,Alexandre Dumas (Padre),1844,Novela romántica clásica / Aventura,,,,,,,,,,,
celestina.txt,.txt,707815,La Celestina,Fernando de Rojas,1499,Tragicomedia / Literatura clásica,,,,,,,,,,,
Cien anos de soledad Edicion conmemorativa - Gabriel Garcia Marquez.pdf,.pdf,2016763,Cien años de soledad,Gabriel García Márquez,1967,Realismo mágico,50M+,4.07,NA,Premio Rómulo Gallegos 1972,Netflix series in development,NA,46,Adulto,Colombia,1967,Editorial Sudamericana
Clemencia-Ignacio_Manuel_Altamirano.pdf,.pdf,896242,Clemencia,Ignacio Manuel Altamirano,1869,Novela romántica,,,,,,,,,,,
d2.txt,.txt,2363635,La biblioteca de Babel,Jorge Luis Borges,1941,Fantasía metafísica / Filosofía,,,,,,,,,,,
Despues del anochecer - Stephen King.pdf,.pdf,1874125,Después del anochecer,Stephen King,2008,Terror / Relatos,,,,,,,,,,,
divinacomedia.txt,.txt,741046,La Divina Comedia,Dante Alighieri,1320,Poesía épica,,,,,,,,,,,
Doncel_de_don_Enrique_el_doliente-Mariano_Jose_de_Larra.pdf,.pdf,1538152,Doncel de Don Enrique el Doliente,Mariano José de Larra,1834,Novela histórica,,,,,,,,,,,
Dracula.txt,.txt,890386,Drácula,Bram Stoker,1897,Terror gótico,,,,,,,,,,,
Duma Key - Stephen King.pdf,.pdf,2933299,Duma Key,Stephen King,2008,Terror psicológico / Sobrenatural,,,,,,,,,,,
El bazar de los malos suenos - Stephen King.pdf,.pdf,2292705,El bazar de los malos sueños,Stephen King,2015,Relatos de terror,,,,,,,,,,,
El ciclo del hombre lobo - Stephen King.pdf,.pdf,13703582,El ciclo del hombre lobo,Stephen King,1983,Terror,,,,,,,,,,,
El Código Da Vinci.pdf,.pdf,1152996,El Código Da Vinci,Dan Brown,2003,Thriller histórico / Misterio,,,,,,,,,,,
El diario de Bridget Jones - Helen Fielding.pdf,.pdf,1369806,El diario de Bridget Jones,Helen Fielding,1996,Comedia romántica,,,,,,,,,,,
El marciano - Andy Weir.pdf,.pdf,1885491,El marciano,Andy Weir,2011,Ciencia ficción,,,,,,,,,,,
El pistolero - Stephen King.pdf,.pdf,1566523,El pistolero,Stephen King,1982,Fantasía oscura / Western,,,,,,,,,,,
EL PSICOANALISTA - JOHN KATZENBACH.pdf,.pdf,1514730,El psicoanalista,John Katzenbach,2002,Thriller psicológico,,,,,,,,,,,
El_final_de_Norma-de_Alarcon_Pedro_Antonio.pdf,.pdf,2642742,El final de Norma,Pedro Antonio de Alarcón,1855,Novela romántica,,,,,,,,,,,
el_gran_gatsby_edincr.pdf,.pdf,783915,El gran Gatsby,F. Scott Fitzgerald,1925,Novela clásica / Drama,,,,,,,,,,,
el_silencio_de_los_corderos.pdf,.pdf,1226872,El silencio de los corderos,Thomas Harris,1988,Thriller / Crimen,,,,,,,,,,,
Entre_naranjos-Vicente_Blasco_Ibanez.pdf,.pdf,845219,Entre naranjos,Vicente Blasco Ibáñez,1900,Novela costumbrista / Drama,,,,,,,,,,,
Eugenia_Grandet-Balzac_Honore_De.pdf,.pdf,2032726,Eugenia Grandet,Honoré de Balzac,1833,Realismo,,,,,,,,,,,
Frankenstein.txt,.txt,448924,Frankenstein,Mary Shelley,1818,Terror gótico / Ciencia ficción,,,,,,,,,,,
Fundación.pdf,.pdf,593130,Fundación,Isaac Asimov,1951,Ciencia ficción,,,,,,,,,,,
Guia del autoestopista galactico - Douglas Adams.pdf,.pdf,1031319,Guía del autoestopista galáctico,Douglas Adams,1979,Ciencia ficción humorística,,,,,,,,,,,
"Harper, Lee - Matar Un Ruiseñor.pdf",.pdf,1226893,Matar a un ruiseñor,Harper Lee,1960,Drama social,,,,,,,,,,,
harrypotter.pdf,.pdf,17338552,Harry Potter (saga completa),J.K. Rowling,1997,Fantasía juvenil,500M+,4.46,NA,Multiple (Hugo 2001 etc.),"Film series, games",NA,80+,Juvenil,Reino Unido,1997,Bloomsbury/Salamandra
"hemingway, ernest - el viejo.pdf",.pdf,656331,El viejo y el mar,Ernest Hemingway,1952,Drama / Aventura,,,,,,,,,,,
holmes1.txt,.txt,607643,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes10.txt,.txt,345924,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes2.txt,.txt,268814,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes3.txt,.txt,261193,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes4.txt,.txt,344212,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes6.txt,.txt,622127,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes7.txt,.txt,349320,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
holmes8.txt,.txt,653997,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmes9.txt,.txt,357773,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Holmex5.txt,.txt,612925,Sherlock Holmes historias,Arthur Conan Doyle,1887,Misterio / Policiaco,,,,,,,,,,,
Horror 7. Lo mejor del terror contempora - Stephen King.pdf,.pdf,1279484,Lo mejor del terror contemporáneo,Stephen King,UNKNOWN,Terror / Antología,,,,,,,,,,,
i-dune-de-frank-herbert-r1-3.pdf,.pdf,2797757,Dune,Frank Herbert,1965,Ciencia ficción épica,20M+,4.26,NA,"Hugo 1966, Nebula 1965","Film 1984, 2021",NA,20+,Adulto,EE.UU.,1965,Chilton Book Company
Insomnia - Stephen King.pdf,.pdf,3862244,Insomnia,Stephen King,1994,Terror,,,,,,,,,,,
Isabel Allende La Casa de los Espíritus.pdf,.pdf,1592815,La casa de los espíritus,Isabel Allende,1982,Realismo mágico,,,,,,,,,,,
J.R.R. Tolkien La Comunidad del anillo I.pdf,.pdf,952790,La comunidad del anillo,J.R.R. Tolkien,1954,Fantasía épica,,,,,,,,,,,
Jerome K. Jerome Tres hombres en una barca.pdf,.pdf,727445,Tres hombres en una barca,Jerome K. Jerome,1889,Humor,,,,,,,,,,,
juego-de-caballeros.pdf,.pdf,4389849,Juego de caballeros,Joanne Harris,2005,Ficción histórica / Aventura,,,,,,,,,,,
La chica que amaba a Tom Gordon - Stephen King.pdf,.pdf,867961,La chica que amaba a Tom Gordon,Stephen King,1999,Suspenso / Terror psicológico,,,,,,,,,,,
La conjura de los necios - John Kennedy Toole.pdf,.pdf,1701510,La conjura de los necios,John Kennedy Toole,1980,Sátira / Comedia oscura,,,,,,,,,,,
La cupula - Stephen King.pdf,.pdf,4394135,La cúpula,Stephen King,2009,Terror / Ciencia ficción,,,,,,,,,,,
La milla verde - Stephen King.pdf,.pdf,1570494,La milla verde,Stephen King,1996,Drama / Fantasía oscura,,,,,,,,,,,
La tienda - Stephen King.pdf,.pdf,3146131,La tienda,Stephen King,1991,Terror / Sobrenatural,,,,,,,,,,,
La Torre Oscura - Stephen King.pdf,.pdf,11057619,La Torre Oscura,Stephen King,2004,Fantasía oscura,,,,,,,,,,,
las-cenizas-de-angela.pdf,.pdf,3520329,Las cenizas de Ángela,Frank McCourt,1996,Biografía / Drama,,,,,,,,,,,
las_cronicas_de_narnia_I_II_III_IV_V_VI_y_VII_de_lewis.pdf,.pdf,6765337,Las Crónicas de Narnia,C.S. Lewis,1950,Fantasía juvenil,,,,,,,,,,,
lazarillo.txt,.txt,169841,El Lazarillo de Tormes,Anónimo,1554,Picaresca,,,,,,,,,,,
La_chica_del_tren_-_Paula_Hawkins.pdf,.pdf,1189662,La chica del tren,Paula Hawkins,2015,Thriller psicológico,,,,,,,,,,,
La_edad_de_la_inocencia-Edith_Wharton.pdf,.pdf,1418252,La edad de la inocencia,Edith Wharton,1920,Drama / Romance,,,,,,,,,,,
Lirio_del_valle-Balzac_Honore_De.pdf,.pdf,903044,El lirio del valle,Honoré de Balzac,1835,Realismo francés,,,,,,,,,,,
Los-miserables.pdf,.pdf,7018901,Los miserables,Victor Hugo,1862,Novela histórica,,,,,,,,,,,
Los_amantes_de_Teruel-Juan_Eugenio_Hartzenbusch.pdf,.pdf,642764,Los amantes de Teruel,Juan Eugenio Hartzenbusch,1837,Drama romántico,,,,,,,,,,,
Maria-Jorge_Isaacs.pdf,.pdf,2495293,María,Jorge Isaacs,1867,Novela romántica,,,,,,,,,,,
MobyDick.txt,.txt,1276301,Moby Dick,Herman Melville,1851,Aventura / Filosofía,,,,,,,,,,,
Momo ed original - Michael Ende.pdf,.pdf,11455830,Momo,Michael Ende,1973,Fantasía,,,,,,,,,,,
Mort-1.pdf,.pdf,938458,Mort,Terry Pratchett,1987,Fantasía humorística,,,,,,,,,,,
Neal Stephenson - Snow Crash.pdf,.pdf,726917,Snow Crash,Neal Stephenson,1992,Ciberpunk / Ciencia ficción,,,,,,,,,,,
Neuromante - William Gibson.pdf,.pdf,1107639,Neuromante,William Gibson,1984,Ciberpunk / Ciencia ficción,,,,,,,,,,,
Orgullo_y_prejuicio-Jane_Austen.pdf,.pdf,4200587,Orgullo y prejuicio,Jane Austen,1813,Romance clásico,,,,,,,,,,,
pdfcoffee.com_1-rothfuss-patrick-el-nombre-del-viento-pdf-free.pdf,.pdf,2734331,El nombre del viento,Patrick Rothfuss,2007,Fantasía épica,,,,,,,,,,,
pepita.txt,.txt,346960,Pepita Jiménez,Juan Valera,1874,Novela romántica,,,,,,,,,,,
Pepita_Jimenez-Juan_Valera.pdf,.pdf,641512,Pepita Jiménez,Juan Valera,1874,Novela romántica,,,,,,,,,,,
platero.txt,.txt,227780,Platero y yo,Juan Ramón Jiménez,1914,Poesía en prosa,,,,,,,,,,,
Quien pierde paga - Stephen King.pdf,.pdf,1807533,Quien pierde paga,Stephen King,2015,Thriller / Suspenso,,,,,,,,,,,
Quijote.txt,.txt,2225840,Don Quijote de la Mancha,Miguel de Cervantes,1605,Novela clásica,,,,,,,,,,,
regenta.txt,.txt,1889465,La Regenta,Leopoldo Alas “Clarín”,1884,Realismo / Naturalismo,,,,,,,,,,,
Robert Jordan - La rueda del tiempo 1 (El ojo del mundo).pdf,.pdf,1889964,La rueda del tiempo I: El ojo del mundo,Robert Jordan,1990,Fantasía épica,,,,,,,,,,,
Ruiz-Zafon-Carlos-La-Sombra-Del-Viento_54Y.pdf,.pdf,1211234,La sombra del viento,Carlos Ruiz Zafón,2001,Misterio / Suspenso,,,,,,,,,,,
s1.txt,.txt,169541,s1,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s10.txt,.txt,148382,s10,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s2.html,.html,2596670,s2,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s3.txt,.txt,206932,s3,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s4.html,.html,130368,s4,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s5.txt,.txt,174209,s5,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s6.txt,.txt,121086,s6,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s7.txt,.txt,1032743,s7,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s8.txt,.txt,146723,s8,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
s9.txt,.txt,1199294,s9,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,
Sentido_y_sensibilidad-Jane_Austen.pdf,.pdf,2602623,Sentido y sensibilidad,Jane Austen,1811,Romance clásico,,,,,,,,,,,
The-Martian [www.languagecentre.ir].pdf,.pdf,1326093,The Martian,Andy Weir,2011,Ciencia ficción,,,,,,,,,,,
Trilogia Mistborn - Brandon Sanderson.pdf,.pdf,30334578,Trilogía Mistborn,Brandon Sanderson,2006,Fantasía épica,,,,,,,,,,,
Voltaire (Jean-Baptiste Poquelin) Cándido.pdf,.pdf,307348,Cándido,Voltaire,1759,Sátira / Filosofía,,,,,,,,,,,
[PDF] 01. Juego de Tronos - 01 - Cancion de Hielo y Fuego.pdf,.pdf,3927073,Juego de Tronos,George R.R. Martin,1996,Fantasía épica,,,,,,,,,,,
[PDF] 02. Juego de Tronos - Choque de Reyes.pdf,.pdf,4402229,Choque de Reyes,George R.R. Martin,1998,Fantasía épica,,,,,,,,,,,
[PDF] 03. Juego de Tronos - Tormenta de Espadas.pdf,.pdf,2912131,Tormenta de Espadas,George R.R. Martin,2000,Fantasía épica,,,,,,,,,,,
[PDF] 04. Juego de Tronos - Festín de Cuervos.pdf,.pdf,3986326,Festín de Cuervos,George R.R. Martin,2005,Fantasía épica,,,,,,,,,,,
[PDF] 05. Juego de Tronos - Danza de Dragones.pdf,.pdf,2309606,Danza de Dragones,George R.R. Martin,2011,Fantasía épica,,,,,,,,,,,
